17	2	240	0.6	0.28	1.12	0.88	0.509	559374	583388	585390	595395	15.08	229.086	240.945	240	240	240	240	230	225	220	240
17	2	150	0.32	1.4	1.12	1	0.36	559374	595397	597399	607408	15.42	153.435	149.534	150	150	140	150	150	150	160	150
17	2	60	1.44	1.72	1.12	1.08	0.433	559374	607410	609412	619416	15.7	63.435	58.57	60	60	60	60	60	60	60	60
17	2	60	1.52	1.56	1.16	0.96	0.495	559374	619417	621419	631423	15.92	59.036	47.121	50	45	40	60	60	60	60	60
17	2	300	1.32	0.24	1.16	0.92	0.537	559374	631424	633426	643430	16.12	283.241	292.834	290	300	300	300	280	285	280	270
17	2	90	1	1.8	1.12	1	0.36	559374	643432	645444	655448	16.46	98.531	90	90	90	80	90	100	105	100	90
17	2	NA	NA	NA	NA	NA	NA	559374	655449	NA	667449	16.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	2	210	0.36	0.56	1.12	0.96	0.379	559374	667449	669451	679456	16.78	207.759	214.509	210	210	220	210	210	210	200	210
17	2	60	1.4	1.64	1.12	0.96	0.379	559374	679457	681459	691461	17.1	67.62	57.995	60	60	60	60	70	75	60	60
17	2	NA	NA	NA	NA	NA	NA	559374	691462	NA	703462	17.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	2	210	0.32	0.64	1.08	0.96	0.268	559374	703462	705464	715470	17.55	202.834	207.897	210	210	200	210	200	210	200	210
17	2	30	1.72	1.4	1.16	0.92	0.537	559374	715471	717473	727483	17.75	40.601	29.055	30	30	20	30	40	45	40	30
17	2	210	0.28	0.68	1.12	0.96	0.379	559374	727484	729486	739490	18.07	198.435	203.962	200	210	200	210	200	195	200	210
17	2	330	1.72	0.68	1.12	0.96	0.379	559374	739491	741493	751496	18.39	334.983	336.038	340	330	340	330	330	330	340	330
17	2	30	1.72	1.32	1.12	1	0.36	559374	751497	753499	763500	18.73	28.072	23.962	20	30	20	30	30	30	20	30
17	2	150	0.24	1.36	1.08	0.96	0.268	559374	763501	765503	775513	19.18	154.537	154.654	150	150	160	150	150	150	160	150
17	2	240	0.52	0.4	1.12	0.92	0.433	559374	775515	777517	787519	19.45	220.914	231.34	230	225	240	240	220	225	220	210
17	2	0	1.8	0.96	1.12	0.96	0.379	559374	787521	789523	799525	19.77	0	357.138	350	345	340	330	0	0	0	0
17	2	0	1.76	1.12	1.12	0.96	0.379	559374	799526	801528	811532	20.09	14.036	8.973	10	15	0	0	10	15	20	0
17	2	30	1.64	1.36	1.16	0.92	0.537	559374	811533	813535	823543	20.29	42.51	29.358	30	30	20	30	40	45	40	30
17	2	180	0.28	1.12	1.08	0.92	0.339	559374	823544	825546	835549	20.65	165.964	170.538	170	165	180	180	170	165	160	180
17	2	150	0.28	1.36	1.08	0.92	0.339	559374	835550	837552	847553	21.02	151.189	153.435	150	150	160	150	150	150	160	150
17	2	NA	NA	NA	NA	NA	NA	559374	847554	NA	859554	21.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	2	180	0.24	1.12	1.12	0.88	0.509	559374	859554	861556	871564	21.23	164.745	171.027	170	165	180	180	160	165	160	150
17	2	330	1.72	0.6	1.12	0.92	0.433	559374	871569	873571	883575	21.51	331.928	330.945	330	330	340	330	330	330	340	330
