-0.3366	 -0.4065	 -0.0481	 0.5892	 1.4059
0.2839	 0.3431	 0.6595	 -0.2964	 0.0451
0.8775	 -1.4097	 0.2067	 0.7702	 -0.7211
-0.3172	 -0.4176	 -0.3109	 -0.2541	 0.5182
-0.1782	 -0.1961	 -0.1215	 0.7795	 -0.0007
-0.1576	 1.3496	 0.7323	 -0.5467	 -1.0152
0.7804	 -0.5990	 -0.0884	 1.1206	 0.3793
-0.0837	 0.7997	 0.0680	 0.0771	 0.4324
0.4304	 2.0840	 -0.3892	 0.4476	 0.0843
0.0954	 0.8422	 0.1769	 0.2096	 -1.0837
0.2619	 -0.1201	 -1.0546	 0.7733	 0.1527
-0.2762	 0.3435	 -1.1577	 0.5132	 0.1729
-0.0720	 1.3079	 0.1881	 1.8298	 -0.7457
-0.2468	 0.6354	 0.7468	 1.7343	 -0.0450
-0.5398	 0.3912	 0.7951	 0.8653	 1.3320
-0.5292	 -0.2650	 -0.2611	 -0.0526	 0.2480
0.9022	 -0.4621	 -0.1506	 0.4084	 0.2160
1.6198	 1.5229	 0.4152	 -0.9352	 1.3376
-0.3605	 -1.2854	 -0.4083	 0.6195	 0.2107
0.9507	 -0.3601	 0.7922	 0.5684	 -1.0786
0.0574	 0.1490	 -0.1007	 2.4078	 -0.3787
0.3574	 0.4136	 -0.5563	 -0.4389	 -0.6215
0.4530	 -0.4858	 0.7278	 -0.1086	 0.2258
-1.0516	 -1.0147	 -0.1681	 0.6666	 0.4581
0.2137	 -1.4494	 -2.2349	 0.4617	 0.6704
0.7239	 -0.5698	 1.2080	 0.2291	 -0.6771
-1.2671	 0.9975	 0.4521	 1.1197	 1.1149
-0.2625	 -0.0259	 -0.7667	 -0.3099	 0.3230
-0.9796	 -0.1550	 -0.1186	 0.2864	 -0.2912
0.0308	 -0.1988	 -0.1045	 0.1791	 0.5299
1.0277	 -0.4400	 -0.3396	 -0.2424	 0.0153
0.8044	 0.9706	 -1.4161	 0.7571	 1.5398
0.6966	 -1.1767	 1.2374	 0.6384	 -1.2780
